category,min,max,mean,stddev,sum,count
E02000746,0,0,0.00,0.00,0,3
E02000887,1,1,1.00,0.00,4,4
E02000741,1,1,1.00,0.00,14,14
E02000215,0,1,0.50,0.71,1,2
E02000132,0,0,0.00,0.00,0,1
E02000190,3,4,3.50,0.58,14,4
E02000646,0,0,0.00,0.00,0,25
E02000131,0,0,0.00,0.00,0,18
E02000136,0,0,0.00,0.00,0,2
E02000528,0,1,0.40,0.50,19,47
E02000642,0,0,0.00,0.00,0,47
E02000623,0,0,0.00,0.00,0,3
E02000525,0,0,0.00,0.00,0,11
E02000524,0,0,0.00,0.00,0,3
E02000138,0,0,0.00,0.00,0,16
E02000139,0,0,0.00,0.00,0,29
E02000648,0,0,0.00,0.00,0,10
E02000620,1,3,2.29,0.55,55,24
E02000193,2,4,3.57,0.79,25,7
E02000194,0,0,0.00,0.00,0,1
E02000627,0,2,0.71,0.59,12,17
E02000502,0,0,0.00,0.00,0,3
E02000540,0,1,0.88,0.34,21,24
E02000628,1,2,1.48,0.51,37,25
E02000738,0,1,0.50,0.71,1,2
E02000739,1,1,1.00,0.00,13,13
E02000580,1,2,1.35,0.48,349,258
E02000730,0,0,0.00,0.00,0,15
E02000731,0,1,0.75,0.44,15,20
E02000732,0,1,0.26,0.45,7,27
E02000733,0,1,0.24,0.43,22,92
E02000734,0,1,0.79,0.41,30,38
E02000735,0,1,0.38,0.49,14,37
E02000736,0,0,0.00,0.00,0,23
E02000737,1,1,1.00,0.00,3,3
E02000631,1,1,1.00,0.00,20,20
E02000227,0,0,0.00,0.00,0,48
E02000224,0,0,0.00,0.00,0,42
E02000632,0,1,0.43,0.51,6,14
E02000222,0,1,0.06,0.24,1,18
E02000634,0,1,0.91,0.29,20,22
E02000189,3,3,3.00,0.00,87,29
E02000188,3,6,4.73,1.10,71,15
E02000639,0,0,0.00,0.00,0,4
E02000638,0,2,0.04,0.29,2,46
E02000185,0,0,0.00,0.00,0,11
E02000184,1,5,2.33,1.11,245,105
E02000182,2,2,2.00,0.00,50,25
E02000181,0,2,0.66,0.66,392,591
E02000180,1,3,1.63,0.94,57,35
E02000910,0,1,0.78,0.42,1814,2336
E02000911,0,1,0.25,0.43,462,1866
E02000912,0,1,0.38,0.49,226,596
E02000913,1,1,1.00,0.00,592,592
E02000914,0,1,1.00,0.03,1425,1426
E02000915,1,1,1.00,0.00,175,175
E02000916,0,1,0.50,0.53,4,8
E02000917,1,1,1.00,0.00,11,11
E02000918,1,1,1.00,0.00,52,52
E02000850,0,0,0.00,0.00,0,1
E02000855,0,0,0.00,0.00,0,3
E02000856,1,1,1.00,0.00,1,1
E02000960,0,3,1.46,0.74,177,121
E02000455,1,1,1.00,0.00,2,2
E02000454,0,0,0.00,0.00,0,6
E02000358,0,2,1.00,0.27,29,29
E02000359,1,2,1.07,0.26,45,42
E02000983,1,4,2.19,0.61,236,108
E02000829,1,1,1.00,0.00,7,7
E02000981,1,4,1.92,0.74,125,65
E02000980,1,4,2.77,0.96,108,39
E02000352,0,0,0.00,0.00,0,17
E02000825,1,1,1.00,0.00,1,1
E02000350,1,2,1.03,0.17,34,33
E02000351,0,2,0.18,0.60,2,11
E02000820,2,4,2.79,0.48,95,34
E02000821,1,1,1.00,0.00,24,24
E02000354,1,2,1.32,0.47,78,59
E02000355,1,2,1.59,0.51,27,17
E02000644,0,0,0.00,0.00,0,4
E02000133,0,0,0.00,0.00,0,4
E02000130,0,0,0.00,0.00,0,237
E02000847,0,0,0.00,0.00,0,6
E02000647,0,0,0.00,0.00,0,21
E02000641,0,0,0.00,0.00,0,17
E02000160,0,0,0.00,0.00,0,1
E02000579,1,2,1.53,0.50,411,268
E02000134,0,0,0.00,0.00,0,2
E02000135,0,0,0.00,0.00,0,36
E02000169,0,2,1.08,0.79,65,60
E02000168,1,3,2.26,0.56,43,19
E02000526,1,1,1.00,0.00,1,1
E02000723,0,1,0.25,0.50,1,4
E02000520,0,0,0.00,0.00,0,14
E02000178,0,1,0.31,0.46,57,185
E02000179,1,2,1.66,0.48,48,29
E02000176,2,2,2.00,0.00,12,6
E02000177,2,3,2.11,0.32,40,19
E02000174,2,3,2.33,0.50,21,9
E02000175,0,1,0.63,0.49,25,40
E02000172,2,3,2.95,0.23,56,19
E02000173,1,2,1.16,0.37,52,45
E02000170,0,0,0.00,0.00,0,2
E02000171,2,2,2.00,0.00,42,21
E02000070,0,0,0.00,0.00,0,2
E02000079,0,0,0.00,0.00,0,3
E02000078,0,0,0.00,0.00,0,1
E02006853,0,0,0.00,0.00,0,89
E02000819,0,0,0.00,0.00,0,2
E02006854,0,1,0.25,0.50,1,4
E02000389,1,2,1.17,0.41,7,6
E02000388,2,2,2.00,0.00,10,5
E02000385,1,2,1.93,0.27,27,14
E02000384,1,2,1.12,0.33,47,42
E02000387,2,2,2.00,0.00,6,3
E02000386,1,2,1.89,0.32,51,27
E02000381,0,2,1.47,0.79,81,55
E02000380,0,4,0.81,1.00,30,37
E02000383,1,2,1.80,0.40,551,306
E02000382,0,1,0.76,0.43,48,63
E02000777,0,1,0.02,0.15,1,46
E02000773,0,0,0.00,0.00,0,3
E02000675,0,1,0.07,0.25,2,30
E02000677,1,1,1.00,0.00,14,14
E02000671,1,1,1.00,0.00,13,13
E02000779,0,0,0.00,0.00,0,1
E02000673,1,1,1.00,0.00,2,2
E02000672,1,1,1.00,0.00,188,188
E02000572,1,4,2.88,1.01,302,105
E02000573,2,3,2.25,0.50,9,4
E02000570,1,4,2.94,1.21,53,18
E02000571,1,3,1.95,0.39,39,20
E02000576,3,4,3.19,0.40,83,26
E02000577,0,1,0.98,0.14,53,54
E02000574,2,3,2.92,0.27,155,53
E02000575,3,4,3.31,0.47,232,70
E02000578,0,2,0.93,0.52,56,60
E02000430,1,1,1.00,0.00,22,22
E02000815,1,4,2.70,1.06,27,10
E02000814,0,0,0.00,0.00,0,171
E02000798,0,1,0.01,0.09,1,130
E02000799,0,0,0.00,0.00,0,1
E02000810,2,2,2.00,0.00,2,1
E02000813,0,1,0.16,0.37,3,19
E02000812,1,5,1.67,0.83,45,27
E02000792,0,0,0.00,0.00,0,21
E02000790,1,1,1.00,0.00,1,1
E02000791,0,0,0.00,0.00,0,14
E02000796,0,0,0.00,0.00,0,1
E02000818,2,2,2.00,0.00,60,30
E02000794,1,1,1.00,0.00,55,55
E02000795,0,1,0.29,0.49,2,7
E02006929,0,1,0.24,0.44,7,29
E02006928,0,1,0.60,0.55,3,5
E02006927,0,1,0.92,0.27,24,26
E02006925,0,0,0.00,0.00,0,11
E02006924,0,0,0.00,0.00,0,7
E02006921,1,1,1.00,0.00,1,1
E02000491,0,0,0.00,0.00,0,4
E02000493,0,0,0.00,0.00,0,1
E02000495,0,0,0.00,0.00,0,29
E02000494,0,0,0.00,0.00,0,1
E02000499,0,0,0.00,0.00,0,5
E02000010,0,1,0.82,0.39,18,22
E02000316,0,1,0.81,0.39,44,54
E02000700,0,0,0.00,0.00,0,16
E02000314,0,0,0.00,0.00,0,12
E02000702,0,1,0.02,0.15,1,44
E02000312,0,0,0.00,0.00,0,168
E02000704,0,2,0.83,0.77,34,41
E02000259,1,1,1.00,0.00,12,12
E02000258,0,0,0.00,0.00,0,39
E02000257,0,1,0.29,0.49,2,7
E02000256,0,1,0.15,0.36,14,94
E02000255,0,1,0.86,0.36,30,35
E02000254,1,1,1.00,0.00,1,1
E02000253,1,1,1.00,0.00,2,2
E02000252,0,1,0.48,0.51,22,46
E02000318,0,1,0.88,0.35,7,8
E02000319,0,1,0.60,0.55,3,5
E02000929,1,1,1.00,0.00,11,11
