"id","opportunity","percentile","cutoff","accessibility"
"way/99389654","hospital",50,30,0
"way/99389657","hospital",50,30,0
"relation/1192624","hospital",50,30,2
"relation/1225596","hospital",50,30,3
"relation/1391156","hospital",50,30,0
"relation/1528018","hospital",50,30,1
"relation/1579548","hospital",50,30,2
"relation/1589368","hospital",50,30,1
"relation/1767022","hospital",50,30,3
"relation/1945519","hospital",50,30,0
"relation/2099903","hospital",50,30,0
"relation/2136327","hospital",50,30,1
"relation/2435399","hospital",50,30,0
"relation/2474020","hospital",50,30,1
"relation/2474024","hospital",50,30,1
"relation/2474026","hospital",50,30,1
"relation/2474027","hospital",50,30,1
"relation/2474028","hospital",50,30,1
"relation/2474029","hospital",50,30,1
"relation/2474030","hospital",50,30,1
"relation/2474031","hospital",50,30,1
"relation/2474032","hospital",50,30,1
"relation/2474034","hospital",50,30,1
"relation/2474036","hospital",50,30,1
"relation/2474037","hospital",50,30,1
"relation/2474038","hospital",50,30,1
"relation/2474039","hospital",50,30,1
"relation/2474040","hospital",50,30,1
"relation/2474042","hospital",50,30,1
"relation/2474043","hospital",50,30,1
"relation/2474044","hospital",50,30,1
"relation/2474045","hospital",50,30,1
"relation/2474046","hospital",50,30,1
"relation/2474047","hospital",50,30,1
"relation/2474048","hospital",50,30,1
"relation/2474049","hospital",50,30,1
"relation/2474050","hospital",50,30,1
"relation/2474053","hospital",50,30,1
"relation/2474054","hospital",50,30,1
"relation/2474055","hospital",50,30,1
"relation/2474058","hospital",50,30,1
"relation/2474059","hospital",50,30,1
"relation/2474060","hospital",50,30,1
"relation/2474065","hospital",50,30,1
"relation/2474066","hospital",50,30,1
"relation/2474067","hospital",50,30,1
"relation/2661254","hospital",50,30,1
"relation/2827859","hospital",50,30,3
"relation/2862730","hospital",50,30,1
"relation/2931235","hospital",50,30,2
"relation/3115658","hospital",50,30,4
"relation/3228004","hospital",50,30,1
"relation/3825513","hospital",50,30,2
"relation/3829005","hospital",50,30,2
"relation/4132971","hospital",50,30,0
"relation/4209211","hospital",50,30,3
"way/4538306","hospital",50,30,0
"relation/4654758","hospital",50,30,0
"relation/4664603","hospital",50,30,0
"way/4948114","hospital",50,30,1
"way/4948116","hospital",50,30,1
"way/4948118","hospital",50,30,1
"way/5131193","hospital",50,30,1
"way/5131194","hospital",50,30,1
"way/5131196","hospital",50,30,1
"way/5131197","hospital",50,30,1
"way/5131199","hospital",50,30,1
"way/5131204","hospital",50,30,1
"way/5131205","hospital",50,30,0
"way/5131206","hospital",50,30,1
"way/5131207","hospital",50,30,0
"way/5131208","hospital",50,30,0
"way/5131209","hospital",50,30,0
"way/5131210","hospital",50,30,0
"way/5131211","hospital",50,30,0
"way/5131212","hospital",50,30,0
