category,min,max,mean,stddev,sum,count
E02000746,11,13,12.33,1.15,37,3
E02000887,111,381,265.75,118.28,1063,4
E02000741,62,99,80.00,11.48,1120,14
E02000215,58,65,61.50,4.95,123,2
E02000132,8,8,8.00,0.00,8,1
E02000190,1110,1226,1172.75,61.46,4691,4
E02000646,119,189,140.80,18.42,3520,25
E02000131,69,120,90.61,16.06,1631,18
E02000136,16,19,17.50,2.12,35,2
E02000528,64,172,109.74,23.12,5158,47
E02000642,44,138,69.45,31.64,3264,47
E02000623,388,494,430.67,55.94,1292,3
E02000525,11,32,17.09,5.80,188,11
E02000524,3,30,13.33,14.57,40,3
E02000138,27,69,43.69,17.73,699,16
E02000139,74,100,84.79,9.37,2459,29
E02000648,35,132,100.10,44.62,1001,10
E02000620,327,1056,540.75,212.36,12978,24
E02000193,1074,1474,1311.43,118.80,9180,7
E02000194,122,122,122.00,0.00,122,1
E02000627,276,569,393.88,98.04,6696,17
E02000502,18,22,19.67,2.08,59,3
E02000540,44,75,57.79,9.92,1387,24
E02000628,221,623,355.56,107.85,8889,25
E02000738,50,94,72.00,31.11,144,2
E02000739,66,97,86.00,8.93,1118,13
E02000580,113,292,176.48,35.46,45531,258
E02000730,50,68,59.93,7.07,899,15
E02000731,37,63,49.45,8.28,989,20
E02000732,32,80,51.67,10.11,1395,27
E02000733,41,104,76.99,12.45,7083,92
E02000734,62,94,81.37,7.69,3092,38
E02000735,37,84,55.78,11.96,2064,37
E02000736,7,47,14.48,13.33,333,23
E02000737,45,64,51.33,10.97,154,3
E02000631,87,279,155.80,60.07,3116,20
E02000227,1,12,4.75,4.15,228,48
E02000224,43,48,44.74,0.89,1879,42
E02000632,184,327,247.50,40.11,3465,14
E02000222,16,58,26.56,9.64,478,18
E02000634,258,350,285.41,24.66,6279,22
E02000189,562,1217,866.69,129.02,25134,29
E02000188,945,1323,1155.00,111.98,17325,15
E02000639,264,319,288.50,27.74,1154,4
E02000638,178,304,223.13,22.11,10264,46
E02000185,144,180,166.18,11.19,1828,11
E02000184,176,1061,492.87,213.07,51751,105
E02000182,122,264,221.48,39.58,5537,25
E02000181,76,241,130.57,37.40,77165,591
E02000180,226,600,344.60,92.72,12061,35
E02000910,41,127,79.15,16.25,184889,2336
E02000911,50,115,68.07,9.34,127011,1866
E02000912,9,83,53.18,10.10,31697,596
E02000913,47,99,67.73,8.44,40094,592
E02000914,41,121,74.02,14.74,105548,1426
E02000915,30,66,44.10,7.43,7717,175
E02000916,29,42,32.25,4.53,258,8
E02000917,55,95,78.64,16.10,865,11
E02000918,46,86,61.56,8.16,3201,52
E02000850,30,30,30.00,0.00,30,1
E02000855,36,37,36.67,0.58,110,3
E02000856,51,51,51.00,0.00,51,1
E02000960,114,411,277.98,61.76,33635,121
E02000455,78,78,78.00,0.00,156,2
E02000454,23,37,32.33,5.05,194,6
E02000358,236,419,331.00,41.73,9599,29
E02000359,60,190,139.74,30.01,5869,42
E02000983,310,1393,734.40,255.47,79315,108
E02000829,153,224,181.29,21.98,1269,7
E02000981,318,1145,679.65,286.86,44177,65
E02000980,534,1060,843.31,129.63,32889,39
E02000352,110,199,131.65,25.19,2238,17
E02000825,193,193,193.00,0.00,193,1
E02000350,151,204,173.67,13.88,5731,33
E02000351,189,462,231.73,77.02,2549,11
E02000820,376,1266,880.44,246.52,29935,34
E02000821,86,308,205.04,60.43,4921,24
E02000354,141,229,188.25,19.82,11107,59
E02000355,78,208,132.76,40.57,2257,17
E02000644,82,128,100.00,21.60,400,4
E02000133,5,13,10.50,3.79,42,4
E02000130,63,95,77.68,7.88,18411,237
E02000847,34,42,37.17,3.06,223,6
E02000647,58,181,100.71,32.70,2115,21
E02000641,105,179,135.59,23.94,2305,17
E02000160,23,23,23.00,0.00,23,1
E02000579,61,316,152.41,61.24,40845,268
E02000134,72,77,74.50,3.54,149,2
E02000135,73,109,92.56,9.90,3332,36
E02000169,22,145,62.85,40.90,3771,60
E02000168,144,306,195.42,46.21,3713,19
E02000526,230,230,230.00,0.00,230,1
E02000723,19,71,41.00,21.97,164,4
E02000520,11,17,14.86,1.70,208,14
E02000178,48,204,125.39,26.08,23198,185
E02000179,102,324,128.14,38.95,3716,29
E02000176,205,276,233.17,31.21,1399,6
E02000177,129,362,214.68,82.65,4079,19
E02000174,301,406,353.33,43.21,3180,9
E02000175,77,327,152.68,78.78,6107,40
E02000172,123,402,262.11,103.66,4980,19
E02000173,79,242,125.22,39.99,5635,45
E02000170,64,71,67.50,4.95,135,2
E02000171,116,167,131.43,13.04,2760,21
E02000070,19,22,20.50,2.12,41,2
E02000079,43,45,44.00,1.00,132,3
E02000078,26,26,26.00,0.00,26,1
E02006853,73,137,83.52,10.80,7433,89
E02000819,324,419,371.50,67.18,743,2
E02006854,128,454,214.50,159.74,858,4
E02000389,157,312,242.33,53.19,1454,6
E02000388,261,316,299.80,22.65,1499,5
E02000385,157,263,235.71,30.65,3300,14
E02000384,161,342,231.71,45.86,9732,42
E02000387,300,328,310.33,15.37,931,3
E02000386,182,278,200.93,24.98,5425,27
E02000381,138,259,199.33,40.96,10963,55
E02000380,118,311,180.32,38.02,6672,37
E02000383,172,325,207.12,23.63,63378,306
E02000382,70,276,162.14,50.01,10215,63
E02000777,10,57,33.93,7.00,1561,46
E02000773,21,62,40.33,20.60,121,3
E02000675,10,72,24.13,14.49,724,30
E02000677,92,106,96.00,6.56,1344,14
E02000671,35,51,42.38,4.09,551,13
E02000779,61,61,61.00,0.00,61,1
E02000673,66,66,66.00,0.00,132,2
E02000672,30,126,54.41,19.28,10230,188
E02000572,384,1412,836.79,359.85,87863,105
E02000573,677,926,843.00,113.19,3372,4
E02000570,277,826,575.00,200.44,10350,18
E02000571,469,702,558.40,63.86,11168,20
E02000576,729,942,821.04,73.00,21347,26
E02000577,93,179,121.54,19.98,6563,54
E02000574,544,1289,884.04,167.58,46854,53
E02000575,683,1295,988.54,143.61,69198,70
E02000578,25,164,91.07,33.78,5464,60
E02000430,73,175,128.95,31.05,2837,22
E02000815,515,1360,900.70,340.48,9007,10
E02000814,22,63,45.29,6.30,7745,171
E02000798,8,102,49.75,15.83,6468,130
E02000799,96,96,96.00,0.00,96,1
E02000810,765,765,765.00,0.00,765,1
E02000813,93,449,265.47,111.23,5044,19
E02000812,480,1703,579.52,229.08,15647,27
E02000792,91,129,120.52,8.63,2531,21
E02000790,116,116,116.00,0.00,116,1
E02000791,115,163,147.71,13.21,2068,14
E02000796,11,11,11.00,0.00,11,1
E02000818,407,798,453.83,73.62,13615,30
E02000794,66,98,81.29,6.70,4471,55
E02000795,9,86,56.71,27.01,397,7
E02006929,69,99,81.59,6.83,2366,29
E02006928,77,175,125.20,45.12,626,5
E02006927,30,63,45.54,6.75,1184,26
E02006925,26,36,29.64,3.50,326,11
E02006924,24,66,39.43,18.28,276,7
E02006921,157,157,157.00,0.00,157,1
E02000491,6,6,6.00,0.00,24,4
E02000493,4,4,4.00,0.00,4,1
E02000495,7,12,9.69,2.04,281,29
E02000494,5,5,5.00,0.00,5,1
E02000499,33,48,40.80,6.80,204,5
E02000010,15,24,17.41,2.99,383,22
E02000316,37,92,69.20,13.45,3737,54
